text,sentiment_label
和平精英职业联赛超话不知道说点什么，不知道你们懂不懂那种心情，怕自己毒奶连战队经理都避开自己喜欢战队，但他们2队都没有淋到金色雨，内心五味杂陈……还有几个夏天，才能不留遗憾，由衷祝福他们越来越好，走向最闪耀的舞台，都要闪闪发光！！！#2023pel夏季赛##wbg晋级2023全球总决赛##lgd#,正面
2023和平精英全球总决赛PEL赛区资格赛将于8月24日18点开赛#2023和平精英全球总决赛#,正面
【#2023和平精英全球总决赛#】出征仪式全新征程已开启，恭喜PEL赛区一号种子@长沙TEC体坛电子竞技俱乐部、二号种子@北京WBG和平精英分部、三号种子@天霸电子竞技俱乐部出征2023和平精英全球总决赛，期待PEL赛区战队能够在世界舞台上奔向荣光！LPEL和平精英职业联赛的微博视频,正面
8月20日，在上海东方体育中心举办的PEL夏季总决赛战况激烈，长沙TEC战队在共计51支顶尖参赛队伍里脱颖而出，成功拿下夏决总冠军，将2023年和平精英全球总决赛门票收入囊中。在这热血沸腾的赛事间隙，不仅有品牌代言人华晨宇带来精彩绝伦的超级空投秀，《名场面》、《飞行指挥家》、《绝境战神》三首歌的时间让这场赛事的中场氛围直接推向高潮，更有三轮福利空投由华晨宇抽取掉落。#华晨宇PEL夏决空投秀#除此之外，品牌代言人王嘉尔也降临现场，一首《ZONE(圈) 》-和平精英亚运版本官方歌曲也将现场氛围持续拉满。再次祝贺长沙TEC战队获得夏季总决赛冠军，也希望出征亚运的战队获得好成绩！#PEL##和平精英空投节#,正面
那就全力以赴，土耳其见！,中性
#北京WBG晋级全球总决赛##WBG夏季赛季军#我们世界赛见！,负面
【2023和平精英全球总决赛】#邹市明助力全球总决赛#邹市明为长沙TEC体坛电子竞技俱乐部、北京WBG和平精英分部、天霸电子竞技俱乐部送上出征祝福，#2023和平精英全球总决赛#L海岛云妹的微博视频,正面
【2023和平精英全球总决赛】出征宣言#2023和平精英全球总决赛#@长沙TEC体坛电子竞技俱乐部：从不被看好到站到夏决的领奖台，一路以来支持我们的是努力与决心，体坛会让任何一支小瞧PEL的战队铩羽而归！@北京WBG和平精英分部：这些年我们总是与世界赛失之交臂，这次我很幸运，这一次我们必将重铸PEL荣光！@天霸电子竞技俱乐部：春季赛的总冠军让我们拥有了前进的勇气，特邀赛的失利也让我们拥有了进步的动力，我们这次一定会好好加油，拿下全球总决赛的冠军！L海岛云妹的微博视频,正面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为KONE・吒宝加油助威！他是我心目中的最佳选手！快来和我一起为KONE・吒宝打call吧！O2023PEL夏季赛选手榜,正面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#歼灭热身赛傲夜天团3：1拿下比赛！PEL夏季赛也告一段落了，大家世界赛资格赛见呀L游戏第一深情的微博视频,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#表演赛好欢乐呀，恭喜傲夜天团3:1拿下比赛，你们好棒！,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#傲夜天团的3比1拿下比赛实力强劲,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#花傲天和猫猫、诚c、Justin接受车队轮番挑战，采访时表示队伍很有默契，最终傲夜天团3：1拿下！,负面
小P夜话PEL本年度比赛已落下帷幕，此时此刻，你最想对各支战队说——#2023PEL夏决##2023PEL夏季赛#,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#表现赛傲夜天团3：1拿下比赛！花傲天可太厉害了,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#哇，这比赛好激烈啊，不过总体来说表演赛还是很欢乐的，我们世界赛资格赛再见咯,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#表演赛还是很欢乐的，期待资格赛的比赛,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#表演赛最终傲夜天团3：1拿下比赛！还是很欢乐的哈哈，世界赛资格赛见！,正面
和平精英超话这个有什么用啊家人们🤔,正面
王嘉尔超话#王嘉尔新歌zone##王嘉尔pel夏决跨界新歌首秀#@王嘉尔欢迎和平精英品牌代言人带来新歌《ZONE》惊喜首秀声音一出直接陷入QQ音乐已上线！快来一起听吧,正面
和平精英超话领不到朋克这个衣服我是不接受的（尖叫）（扭曲）（阴暗的爬行）（爬行）（扭动）（阴暗地蠕动）（翻滚）（激烈地爬动）（扭曲）（痉挛）（嘶吼）（蠕动）（阴森的低吼）（爬行）（分裂）（走上岸）（扭动）（痉挛）（蠕动）（扭曲的行走）（不分对象攻击）,负面
QQ游戏陪伴了我们90后的整个青春。从最开始的偷菜养鱼，到后来的用手机登录跑酷，甚至现在的王者荣耀，和平精英等等这些都是我们平时用来消遣的QQ游戏啊。印象最为深刻的就是QQ斗地主了。那个时候因为无聊，整天在电脑上面玩儿这个游戏。我记得当时的QQ斗地主有一个视频斗地主，每天和真人在电脑上面打牌，简直太有意思了，自己的欢乐豆不够了，还会向其他人借一下QQ号登录重新玩儿。整天整天的玩儿，都不会腻的那一种。#还记得QQ游戏的快乐吗##QQ游戏居然都二十年了#@QQ游戏官微qq超话,正面
RW神机营超话原来你是这样的77HL有种毒药叫做未完待旭的微博视频,正面
和平精英超话真的真的没有人一起玩吗,正面
华晨宇超话是谁这么可爱#华晨宇和平精英品牌代言人##2023华晨宇火星演唱会#,中性
和平精英超话咔嚓📷记录游戏快乐时刻,正面
#2023CF明星主播赛#赛事现场返图Day18月19的精彩比赛已经圆满结束！CFM循环赛第一场，虎牙大魔王队横扫战场，以2：0轻取快手木木沐风队，CFM表演赛，虽然选手来自不同阵营，配合却十分默契，全明星B队以2:0战胜全明星A队，CF循环赛第一场，强中自有强中手，一山更比一山高，双方在最后一张地图僵持许久，最后快手广君队在关键节点拿下决胜比分，2：0顺利拿下比赛胜利。CF循环赛第二场，整场比赛极限拉扯，双方进入今天的第一场加时赛，在你追我赶的紧张刺激中，斗鱼白鲨豆豆队单局斩获三杀拿下赛点，最后赢得比赛胜利！感谢选手为我们带来的精彩赛事！来和妹一起重返比赛现场吧~#CF金火线杯##CF火线运动会#穿越火线赛事超话,正面
寻游启示姓名：刺激战场冒充者姓名：和平精英刺激战场失踪时间2019年5月7日23点30分，有看到的好心人，麻烦告诉他一下，赶快回家，我真的很想他,正面
想把刺激战场的名字改成“野牛突击队”但我没有改名卡,正面
邓为超话#邓为涂山璟的狐狸乐园#@邓为工作室@邓为D【以下长文，无耐心可不读】【说明】1、不是书粉，没看过原著，不磕夭不磕璟不磕柳不磕玹，甚至不磕古偶爱情片，仅从剧版浅说下看完第一季的想法。2、一千个读者，有一千哈姆雷特，个人观点甚至与原著作者的本意都可能有出入，请允许保留个人观点，不喜勿喷。【对几位人物的浅显理解】1、璟/叶十七：此角色的缺点若只是优柔寡断、身体残疾与恋爱脑，对于磕璟的观众几乎可以忽略不计。个人认为作者塑造的是大部分女性心中的一种完美男人形象：翩翩公子有钱有才温柔善良体贴入微，愿为女性牺牲一切，等等这些，均是为女性读者造梦。现实中真有这样的男子嘛？也许有，但大家都不易遇到吧！So，这么完美的人设还有什么可评论的呢？五星好评就好啦！璟的缺点就是几乎没有缺点，对这样的男人很难不爱啊！可大家都是成年人，我并不喜欢看作家塑造完美人设，有缺点的人物才有血有肉更加生动。2、仓玹：也许是剧中最不讨喜的男主吧！他的腹黑与心狠是女性观众无法接受的不善良：打断小六的腿，娶一堆自己不爱的女人，这都是女性观众无法接受的。可也许这样的人物才是个正常的男人吧：事业心强，目标明确，感情专一但不是感情至上，懂得隐忍与牺牲，关键时刻甚至不惜牺牲他人利益。说他不善良，他确实心狠心冷；说他善良，他胸怀天下及苍生，对暗杀自己的人几度原谅。事业、亲情、婚姻，孰轻孰重，他分得很清，是在现实社会中比较易见的、有血有肉的真实的人。3、相柳：早知自己的命运是死于战场，恩义与责任大于一切，清楚自己与女主没有未来，也就不给女主留有希望、不留有痛苦，不做恋爱脑。这才是真正好男人，所以大家“意难平”。知己难得，请予珍惜，拥有知己已经很好，未必需要堕入恋爱、踏入婚姻。所以对于知己，请小夭们少些撩骚，既是知己，给知己也少些苦楚。4、小夭：有老公独守，有情人解闷，暂且不谈还有哥哥宠溺、有哥们儿玩耍。光一拖二，却没人说她是渣女。经历过痛苦的童年，小夭充满了极度的不安全感与孤独感。个人理解，她爱的不是璟，不是相柳，而是她自己。她需要有人肯为她牺牲，把她放在首位，不能事业第一，不能另娶妾室，以上姑且算是正当需求，但客观说，当初救十七和相柳，只是出于职业医德及人品善良，但在感情上，她又真正为璟和相柳付出什么呢？好像真没有什么？！夭更多的是对璟的不原谅与对相柳的不理解。璟的每次困境，夭嘴上理解，内心却无法原谅，为了哥哥的事业，也利用了璟；为了让璟吃醋，为了自己孤独找乐寻刺激，又随时向相柳和防风邶倒戈。老公垫底，情人解闷，何尝不是一脚踏两船？如此聪慧之人，却没看出哥哥对自己早已不仅仅是兄妹之情？相柳舍命相救，她却觉得是一报还一报，更不舍的仅仅是相柳37年的陪伴，而不是柳身心的割舍。大家都对女主人设的可爱善良聪明喜欢不已，忽视了这故事最渣也许就是她。小夭是聪明的，仓玹不可能放弃权力，相柳不可能放弃恩义，他们终不能把小夭放在首位，两位都有性命之忧，哪个作老公都不可能长厢厮守；唯有璟，即使放弃身份也仍衣食无忧。这个垫底的傻男人是唯一的选择，根本无需纠结，只不过有个防风邶作情人，便锦上添花生活更🈶️新鲜感及趣味。家花既然可以隐忍我偶尔采下野花，不采白不采！可是一旦与家花分手，夭立刻主动向野花投怀送抱，甚至索吻。西炎王早就告诫小夭不要偏执于寻找一个完美男人，社会是现实的，没有男人会为女人牺牲所有。而小夭真就这么好运，恰巧就遇到了一个完美的璟。渣字本带贬义，但小夭也透露出一位理智的女性最现实、最理智的选择：刺激可偶有，安全才第一。若想兼有之，驭夫须有术[呲牙],正面
因为我房间太乱所以赐名刺激战场,负面
杨超越刺激战场超话美好的一天,正面
#TEC夏季赛总冠军##沫竹哭了#再次恭喜@长沙TEC体坛电子竞技俱乐部获得夏季赛总决赛总冠军！！三连揪冠军战队🎁,正面
这到底是为什么啊想不通真的想不通#2023pel夏决冠军之夜#,中性
#SuKi四连枪王##2023PEL夏决冠军之夜#SuKi好强，四连枪王手感火热，领跑淘汰榜，TEC领跑积分榜，期待你们下把更精彩的表现,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#世界赛资格赛见！期待！,负面
#2023pel夏决冠军之夜##电竞大v团#你们知道我有多丢人吗LPEL阿堆的微博视频,负面
#最强车队夏决表演赛# 欢乐的表演赛结束也标志着PEL夏季赛也告一段落了！大家在更大的舞台再见#傲夜天团PEL舞台首秀#,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#花傲天和猫猫、诚c、Justin接受四大车队轮番挑战，期待下次见哦!,负面
傲夜天团3：1拿下最强车队夏决表演赛#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#,负面
08.20抖抖搜索④PEL和平精英职业联赛🔍查看最新抖抖视频转发，评论，收藏，点赞，分享！@华晨宇yu@华晨宇家老战,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#采访时表示队伍有默契，最终傲夜天团3：1拿下！大家继续加油呀,负面
一场经典的总决赛！恭喜@长沙TEC体坛电子竞技俱乐部#TEC夏季赛总冠军##沫竹哭了#,正面
和平精英职业联赛超话累了,正面
再夸一遍，和平精英你是真的牛，舞美音响直播音效都不错！我要转遍今晚的每一个官方！PEL和平精英职业联赛的视频O华晨宇PEL夏决超级空投秀惊艳全场《绝境战神》+《名场面》+《飞行指挥家》,正面
#北京WBG晋级全球总决赛##WBG夏季赛季军#刀光剑影铸利刃，枪鸣四海彻云霄！运筹帷幄，行不止步；志在凌云，剑指荣誉!,正面
00猫超话等了很久的世界赛我来咯虽然没拿到联赛总冠军但世界赛再拼一拼#北京WBG晋级全球总决赛##WBG夏季赛季军#,正面
【2023和平精英全球总决赛】#2023和平精英全球总决赛#恭喜@长沙TEC体坛电子竞技俱乐部、@北京WBG和平精英分部、@天霸电子竞技俱乐部晋级2023和平精英全球总决赛！群雄争霸，谁与争锋，让我们共同期待他们在世界舞台上的精彩表现！,正面
虽然很遗憾没能淋上金色的雨，但是资格赛加油吧！#2023pel夏季赛##2023和平精英全球总决赛#,正面
【2023和平精英全球总决赛】出征宣言#2023和平精英全球总决赛#@长沙TEC体坛电子竞技俱乐部：从不被看好到站到夏决的领奖台，一路以来支持我们的是努力与决心，体坛会让任何一支小瞧PEL的战队铩羽而归！@北京WBG和平精英分部：这些年我们总是与世界赛失之交臂，这次我很幸运，这一次我们必将重铸PEL荣光！@天霸电子竞技俱乐部：春季赛的总冠军让我们拥有了前进的勇气，特邀赛的失利也让我们拥有了进步的动力，我们这次一定会好好加油，拿下全球总决赛的冠军！L奥加电竞的微博视频,正面
恭喜@长沙TEC体坛电子竞技俱乐部、@北京WBG和平精英分部、@天霸电子竞技俱乐部晋级2023和平精英全球总决赛；恭喜@长沙TEC体坛电子竞技俱乐部、@江苏KONE电子竞技俱乐部、@北京WBG和平精英分部、@重庆TEAMPAI电子竞技俱乐部、@广州TT和平精英分部、@杭州LGD和平精英、@天霸电子竞技俱乐部、@狼队电竞和平精英分部晋级2023和平精英区域对抗赛；让我们共同期待PEL赛区战队在世界舞台上的精彩表现！#2023和平精英全球总决赛##PEL赛区资格赛#,正面
【2023和平精英全球总决赛】#邹市明助力全球总决赛##2023和平精英全球总决赛#世界拳王、奥运冠军、和平精英全球总决赛PEL出征助威官邹市明@我就是我邹市明为@长沙TEC体坛电子竞技俱乐部、@北京WBG和平精英分部、@天霸电子竞技俱乐部送上出征祝福，期待PEL赛区战队能在世界舞台上载誉归来，拿出实力，打出风采！L奥加电竞的微博视频,正面
8月24日18点，2023和平精英全球总决赛PEL赛区资格赛将在以下十五支队伍中开赛。#2023和平精英全球总决赛##PEL赛区资格赛#,正面
【2023和平精英全球总决赛】#2023和平精英全球总决赛#恭喜@长沙TEC体坛电子竞技俱乐部、@北京WBG和平精英分部、@天霸电子竞技俱乐部晋级2023和平精英全球总决赛！群雄争霸，谁与争锋，让我们共同期待他们在世界舞台上的精彩表现！,正面
#一加Ace2Pro#一加Ace2Pro助力TEC夏季赛总冠军赛，最终，长沙tec体坛俱乐部成功拿下2023PEL夏季总决赛冠军，现场一加李杰还跟冠军选手合影，好像选手用的都是一加Ace2Pro哦！,正面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・诚c加油助威！他是我心目中的最佳选手！快来和我一起为LGD・诚c打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
#2023PEL夏季赛##2023PEL#我已为LGD・花傲天加油助威！他是我心目中的最佳选手！快来和我一起为LGD・花傲天打call吧！O2023PEL夏季赛选手榜,负面
是我的问题吗为什么这张图我看到后满脑子都是《慈父》#2023pel夏决冠军之夜#,正面
今天！！季后赛败者组，要继续加油哇挑战者杯和世冠，小学生回来有比赛啦WBGPEL夏季赛季军🥉差7分，有丢丢遗憾世界赛加油！行不止步，枪鸣四海#小钱滴生活碎片#,正面
我都到徐家汇中转了，走着走着旁边还能有火姐“喏”递过来几张小帽卡片。能量包太好用了，身份辨识度max。第一次看了游戏比赛哈哈，pel夏季决赛打卡。#小石的每月新体验#,中性
#2023pel夏决##SHOWTIME当燃不让#秀酱速报到！送上进食中的@ST天i和@ST燃c两兄弟小树老师灵魂发问：“哪只手拿叉？”天os：我管哪只手拿叉，能吃就行ShowTime和平精英超话L山东ShowTime和平精英的微博视频,正面
#王嘉尔PEL夏决跨界新歌首秀#这次的比赛不仅阵容强大实力选手众多，而且还有王嘉尔加油助威并带来了新歌首秀，太让人激动了!#王嘉尔助力和平精英亚运版本#,正面
PEL2023夏季总决赛🚩从下午三点看到晚上九点好累恭喜TEC看比赛附送王嘉尔华晨宇的表演😎😎😎,正面
花傲天超话小帽退场20230820花傲天上海pel夏决表演赛退场片段#华晨宇pel新歌绝境战神#LFDU华晨宇孵旦火星村的微博视频,负面
#华晨宇和平精英品牌代言人##华晨宇pel夏决空投秀#@华晨宇yu小花今天舞台燃炸小帽今天比赛超帅（转载图源见水印）,正面
#王嘉尔PEL夏决跨界新歌首秀#PEL夏决赛马上开了，王嘉尔这次带来了新歌为参加比赛的选手们加油，相信各位选手一定会取得优异的成绩的！#王嘉尔助力和平精英亚运版本#,正面
#王嘉尔新歌ZONE#在pel的决赛现场你不仅能看到紧张刺激的比赛现场，你甚至可以看到王嘉尔现场的精彩演出！现场的观众朋友们有没有觉得值回票价了！,正面
花傲天超话都说了，我们小帽的mao也是美貌的mao！🤲#华晨宇和平精英品牌代言人#,正面
和平精英超话老婆们收了个号有二次但是有设备脸我把二次改掉了那设备脸会变成我的脸吗？,负面
华晨宇超话#华晨宇和平精英品牌代言人#hcy#华晨宇pel新歌绝境战神#华晨宇和花傲天我双担,负面
华晨宇超话#华晨宇和平精英品牌代言人#hcy#华晨宇pel新歌首秀#【20230820和平精英夏决采访】有私心的宝宝哈哈哈哈L做傲天哥哥的猫的微博视频,正面
和平精英超话玩游戏吗玩游戏吗玩游戏吗,正面
和平精英超话家人们，是1、四个字母英短（百度出来是某和组织的缩写），还是2、x妹求求了，最后一次了！！！！！,负面
华晨宇超话#2023华晨宇火星演唱会#被火姐的可爱笑死：花傲天被对手伏击，旁边火姐大喊，不许打我宝，再打我打你#华晨宇和平精英品牌代言人#,负面
LGD和平精英大家庭超话彼此交换喜悲，爱得多的人总先掉眼泪。,正面
为了这个目标，我努力了三年！无数个夜晚都在想象着能再次捧起🏆的场景！今天我们做到了！感谢体坛给了我这次证明自己的机会，感谢我的队员不懈的努力与无条件的信任。终于终于终于能再次喊出“我们是冠军！！！”土耳其我们来了！！！#tec夏季赛总冠军#,正面
小帽晚安晚安小帽🥰230820上海和平精英@华晨宇yu🥰#华晨宇pel夏决空投秀#,正面
#华晨宇和平精英品牌代言人#四舍五入我在现场看爹帝打碟跳舞谢谢@火星人丶乐！,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#各支车队赛场上竞争激烈，最终傲夜天团3：1拿下比赛！,负面
LGD和平精英大家庭超话遗憾吗，当然当分数已经无力回天之时无奈吗好像突然没有了常规赛的意气风发不过，少年永远不缺再来的勇气我们陪你们一起走K神先走一步，mjc要自信要快乐愿资格赛顺顺利利，把把有圈，与K顶峰相见,正面
王嘉尔/PSY.P/布瑞吉Bridge/和平精英《ZONE(圈)》（和平精英亚运版本官方歌曲）KZONE(圈)@QQ音乐,正面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#最强车队夏决表演赛来了！真的好精彩的！,负面
#华晨宇桃心眼妆#华晨宇超话#华晨宇和平精英品牌代言人#被小帽哥哥帅晕了晨宇哥哥也好帅,正面
和平精英超话#和平精英##和平精英账号弃游卖号##和平精英交易#编号😋8708，价格36999极品常见单字🆔:剪，2战神框，3螳螂，金鞋子，赤蝎，木乃伊，巡查衣，追光服，小丑，14载具，1粉飞机，30特效12🈵️级，63粉装🔥,中性
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#傲夜天团和摸鱼车队、童霸天车队、胖达车队进行歼灭热身赛,负面
#最强车队夏决表演赛# #傲夜天团PEL舞台首秀#傲夜天团PEL舞台首秀还是挺精彩的哈！,负面
王嘉尔超话wje#王嘉尔新歌ZONE#wje#王嘉尔和平精英品牌代言人#嘎的新歌《ZONE》也真的很好听啊！这个嗓音真的是没谁了超级爱还有就是，为什么嘉嘉戴墨镜🕶️这么帅啊...@王嘉尔,正面
真是可爱死了#华晨宇和平精英品牌代言人#,正面
王嘉尔/PSY.P/布瑞吉Bridge/和平精英《ZONE(圈)》（和平精英亚运版本官方歌曲）KZONE(圈)@QQ音乐,正面
王小歪超话@和平精英王小歪今天也是很精致的猪猪男孩啊哥你也得少熬夜黑眼圈太重了但是你的眉毛真让人羡慕真密啊又多祝你今天比赛拿冠军啊哥#王小歪超话#,正面
王嘉尔超话#王嘉尔PEL夏决跨界新歌首秀#wje#王嘉尔助力和平精英亚运版本#哇是@王嘉尔哎！红红火火！好帅,正面
花傲天首杀#和平精英花傲天的哥#,负面
#王嘉尔PEL夏决跨界新歌首秀#王嘉尔的新歌真的有一种在赛场上激烈拼搏的热情感，此次pel夏决赛选手们听完歌曲之后，相信一定会激发出非常强大的力量。#王嘉尔助力和平精英亚运版本#,正面
