ÈÕÆÚ,ºÃÆÀ,²îÆÀ
2023/6/19,1,0
2023/6/20,2,0
2023/6/21,1,3
2023/6/22,3,0
2023/6/23,4,1
2023/6/24,3,0
2023/6/25,0,2
2023/6/26,0,2
2023/6/27,0,0
2023/6/28,3,0
2023/6/29,2,0
2023/6/30,5,1
2023/7/1,3,4
2023/7/2,5,2
2023/7/3,6,2
2023/7/4,4,0
2023/7/5,6,3
2023/7/6,4,3
2023/7/7,2,2
2023/7/8,2,3
2023/7/9,2,2
2023/7/10,5,3
2023/7/11,2,2
2023/7/12,5,0
2023/7/13,5,1
2023/7/14,6,2
2023/7/15,6,2
2023/7/16,27,1
2023/7/17,7,0
2023/7/18,7,1
2023/7/19,4,0
2023/7/20,6,2
2023/7/21,3,1
2023/7/22,5,3
2023/7/23,3,0
2023/7/24,4,2
2023/7/25,7,1
2023/7/26,3,2
2023/7/27,8,3
2023/7/28,4,3
2023/7/29,6,2
2023/7/30,4,2
2023/7/31,7,1
2023/8/1,3,3
2023/8/2,5,2
2023/8/3,5,3
2023/8/4,9,3
2023/8/5,10,5
2023/8/6,12,7
2023/8/7,9,4
2023/8/8,3,3
2023/8/9,4,0
2023/8/10,6,1
2023/8/11,6,1
2023/8/12,10,3
2023/8/13,3,4
2023/8/14,5,2
2023/8/15,3,1
2023/8/16,8,1
2023/8/17,8,3
2023/8/18,8,0
2023/8/19,3,1
2023/8/20,3,1
2023/8/21,0,1
2023/8/22,4,4
2023/8/23,3,1
2023/8/24,5,1
2023/8/25,2,0
2023/8/26,2,3
2023/8/27,4,0
2023/8/28,2,1
2023/8/29,2,0
2023/8/30,6,2
2023/8/31,3,0
2023/9/1,2,0
2023/9/2,3,1
2023/9/3,5,2
2023/9/4,2,0
2023/9/5,1,0
2023/9/6,0,0
2023/9/7,0,1
2023/9/8,2,0
2023/9/9,2,1
2023/9/10,3,1
2023/9/11,4,1
2023/9/12,1,0
2023/9/13,0,1
2023/9/14,3,0
2023/9/15,2,1
2023/9/16,4,0
2023/9/17,1,0
2023/9/18,0,1
2023/9/19,0,1
2023/9/20,0,0
2023/9/21,2,1
2023/9/22,0,0
2023/9/23,1,0
2023/9/24,2,1
2023/9/25,0,0
2023/9/26,1,0
2023/9/27,1,0
2023/9/28,0,2
2023/9/29,4,3
2023/9/30,6,0
2023/10/1,1,2
2023/10/2,1,1
2023/10/3,5,0
2023/10/4,1,0
2023/10/5,2,3
2023/10/6,0,4
2023/10/7,5,0
2023/10/8,1,0
2023/10/9,2,0
2023/10/10,0,1
2023/10/11,3,0
2023/10/12,2,1
2023/10/13,1,0
2023/10/14,8,0
2023/10/15,5,2
2023/10/16,1,0
2023/10/17,0,0
2023/10/18,2,2
2023/10/19,2,0
2023/10/20,1,1
2023/10/21,2,2
2023/10/22,2,0
2023/10/23,0,0
2023/10/24,0,0
2023/10/25,0,0
2023/10/26,0,1
2023/10/27,0,0
2023/10/28,0,0
2023/10/29,0,0
2023/10/30,4,1
2023/10/31,2,0
2023/11/1,0,1
2023/11/2,2,0
2023/11/3,2,1
2023/11/4,0,1
2023/11/5,0,2
2023/11/6,6,0
2023/11/7,2,1
2023/11/8,1,0
2023/11/9,2,0
2023/11/10,1,0
2023/11/11,0,0
2023/11/12,4,1
2023/11/13,2,1
2023/11/14,1,1
2023/11/15,1,0
2023/11/16,2,0
2023/11/17,1,0
2023/11/18,2,0
2023/11/19,4,1
2023/11/20,1,2
2023/11/21,1,0
2023/11/22,0,1
2023/11/23,4,0
2023/11/24,1,3
2023/11/25,1,1
2023/11/26,2,1
2023/11/27,2,1
2023/11/28,4,0
2023/11/29,0,0
2023/11/30,0,0
2023/12/1,0,1
2023/12/2,3,0
2023/12/3,1,2
2023/12/4,2,0
2023/12/5,2,0
2023/12/6,2,1
2023/12/7,1,1
2023/12/8,1,2
2023/12/9,2,0
2023/12/10,4,1
2023/12/11,0,1
2023/12/12,0,1
2023/12/13,0,0
2023/12/14,2,-2
2023/12/15,3,2
2023/12/16,0,0
2023/12/17,2,1
2023/12/18,1,1
2023/12/19,2,0
2023/12/20,0,1
2023/12/21,0,0
2023/12/22,0,0
2023/12/23,0,1
2023/12/24,0,1
2023/12/25,0,0
2023/12/26,1,2
2023/12/27,2,1
2023/12/28,0,1
2023/12/29,0,0
2023/12/30,4,0
2023/12/31,0,0
2024/1/1,6,4
2024/1/2,1,0
2024/1/3,2,0
2024/1/4,1,1
2024/1/5,4,3
2024/1/6,4,1
2024/1/7,4,0
2024/1/8,4,2
2024/1/9,3,0
2024/1/10,0,0
2024/1/11,3,0
2024/1/12,1,2
2024/1/13,5,1
2024/1/14,5,1
2024/1/15,1,1
2024/1/16,1,1
2024/1/17,1,2
2024/1/18,3,1
2024/1/19,1,1
2024/1/20,3,1
2024/1/21,4,0
2024/1/22,2,0
2024/1/23,1,1
2024/1/24,2,0
2024/1/25,0,0
2024/1/26,3,1
2024/1/27,10,1
2024/1/28,6,0
2024/1/29,4,0
2024/1/30,10,3
2024/1/31,7,2
2024/2/1,8,3
2024/2/2,6,0
2024/2/3,1,1
2024/2/4,2,1
2024/2/5,6,2
2024/2/6,4,1
2024/2/7,4,1
2024/2/8,5,2
2024/2/9,2,1
2024/2/10,6,2
2024/2/11,5,3
2024/2/12,1,0
2024/2/13,2,1
2024/2/14,2,2
2024/2/15,4,1
2024/2/16,3,2
2024/2/17,3,1
2024/2/18,5,3
2024/2/19,17,2
2024/2/20,15,1
2024/2/21,27,1
2024/2/22,11,3
2024/2/23,16,4
2024/2/24,13,0
2024/2/25,14,2
2024/2/26,3,1
2024/2/27,1,-1
2024/2/28,11,1
2024/2/29,5,0
2024/3/1,7,0
2024/3/2,2,1
2024/3/3,0,0
2024/3/4,0,0
2024/3/5,0,0
2024/3/6,0,0
2024/3/7,0,0
2024/3/8,0,0
2024/3/9,0,0
2024/3/10,0,0
2024/3/11,0,0
2024/3/12,0,0
2024/3/13,0,0
2024/3/14,22,7
2024/3/15,1,1
2024/3/16,3,0
2024/3/17,3,1
2024/3/18,1,0
2024/3/19,2,1
2024/3/20,3,0
2024/3/21,3,2
2024/3/22,3,1
2024/3/23,6,3
2024/3/24,1,5
2024/3/25,2,1
2024/3/26,2,1
2024/3/27,2,0
2024/3/28,4,5
2024/3/29,5,1
2024/3/30,6,0
2024/3/31,5,1
2024/4/1,1,0
2024/4/2,3,0
2024/4/3,3,0
2024/4/4,6,5
2024/4/5,5,0
2024/4/6,7,2
2024/4/7,2,0
2024/4/8,1,2
2024/4/9,1,2
2024/4/10,2,1
2024/4/11,7,2
2024/4/12,3,0
2024/4/13,1,1
2024/4/14,4,0
2024/4/15,1,1
2024/4/16,1,0
2024/4/17,5,0
2024/4/18,5,0
2024/4/19,3,0
2024/4/20,7,3
2024/4/21,7,2
2024/4/22,0,0
2024/4/23,2,2
2024/4/24,3,1
2024/4/25,5,1
2024/4/26,1,2
2024/4/27,4,2
2024/4/28,2,0
2024/4/29,3,1
2024/4/30,0,1
2024/5/1,3,2
2024/5/2,4,5
2024/5/3,5,2
2024/5/4,6,4
2024/5/5,2,3
2024/5/6,2,1
2024/5/7,0,1
2024/5/8,1,0
2024/5/9,0,1
2024/5/10,0,0
2024/5/11,2,0
2024/5/12,3,1
2024/5/13,2,2
2024/5/14,0,0
2024/5/15,2,1
2024/5/16,2,0
2024/5/17,0,2
2024/5/18,1,2
2024/5/19,3,3
2024/5/20,1,0
2024/5/21,1,0
2024/5/22,0,2
2024/5/23,0,0
2024/5/24,3,0
2024/5/25,5,3
2024/5/26,2,0
2024/5/27,2,3
2024/5/28,1,0
2024/5/29,2,1
2024/5/30,0,0
2024/5/31,1,1
2024/6/1,6,4
2024/6/2,0,0
2024/6/3,0,0
2024/6/4,0,0
2024/6/5,0,0
2024/6/6,0,0
2024/6/7,11,9
2024/6/8,4,1
2024/6/9,4,1
2024/6/10,1,1
2024/6/11,2,1
2024/6/12,2,1
2024/6/13,1,3
2024/6/14,1,0
2024/6/15,6,0
2024/6/16,3,1
2024/6/17,1,3
2024/6/18,4,1
2024/6/19,1,0
2024/6/20,4,1
2024/6/21,3,2
2024/6/22,3,0
2024/6/23,6,2
2024/6/24,0,0
2024/6/25,6,1
2024/6/26,5,1
2024/6/27,4,1
2024/6/28,5,0
2024/6/29,14,2
2024/6/30,8,1
2024/7/1,4,1
2024/7/2,1,3
2024/7/3,8,3
2024/7/4,8,2
2024/7/5,9,4
2024/7/6,8,0
2024/7/7,6,2
2024/7/8,5,6
2024/7/9,1,1
2024/7/10,3,1
2024/7/11,4,5
2024/7/12,6,1
2024/7/13,5,4
2024/7/14,4,0
2024/7/15,6,1
2024/7/16,7,2
2024/7/17,4,1
2024/7/18,5,3
2024/7/19,4,0
2024/7/20,7,0
2024/7/21,2,3
2024/7/22,6,2
2024/7/23,4,1
2024/7/24,6,1
2024/7/25,7,5
2024/7/26,10,3
2024/7/27,8,5
2024/7/28,4,4
2024/7/29,6,6
2024/7/30,5,4
2024/7/31,9,1
2024/8/1,7,4
2024/8/2,6,2
2024/8/3,1,1
2024/8/4,3,1
2024/8/5,2,0
2024/8/6,0,0
2024/8/7,2,0
2024/8/8,0,1
2024/8/9,0,0
2024/8/10,0,0
2024/8/11,1,0
2024/8/12,0,0
2024/8/13,2,0
2024/8/14,1,1
2024/8/15,2,0
2024/8/16,3,1
2024/8/17,0,1
2024/8/18,0,1
2024/8/19,0,1
2024/8/20,5,0
2024/8/21,1,0
2024/8/22,3,2
2024/8/23,3,2
2024/8/24,5,3
2024/8/25,7,1
2024/8/26,6,1
2024/8/27,6,2
2024/8/28,7,1
2024/8/29,8,2
2024/8/30,4,3
2024/8/31,6,2
2024/9/1,5,1
2024/9/2,3,0
2024/9/3,3,-3
2024/9/4,3,2
2024/9/5,4,0
2024/9/6,7,1
2024/9/7,10,2
2024/9/8,3,1
2024/9/9,3,1
2024/9/10,2,2
2024/9/11,2,2
2024/9/12,145,15
2024/9/13,140,46
2024/9/14,163,98
2024/9/15,157,96
2024/9/16,48,23
2024/9/17,24,6
2024/9/18,6,4
2024/9/19,4,2
2024/9/20,18,13
2024/9/21,68,24
2024/9/22,0,0
2024/9/23,34,14
2024/9/24,4,2
2024/9/25,3,1
2024/9/26,0,0
2024/9/27,9,5
2024/9/28,15,3
2024/9/29,2,1
2024/9/30,6,1
2024/10/1,13,6
2024/10/2,16,3
2024/10/3,10,5
2024/10/4,5,4
2024/10/5,7,3
2024/10/6,5,4
2024/10/7,6,1
2024/10/8,0,1
2024/10/9,1,1
2024/10/10,1,4
2024/10/11,3,5
2024/10/12,2,8
2024/10/13,9,16
2024/10/14,1,10
2024/10/15,0,5
2024/10/16,0,4
2024/10/17,4,10
2024/10/18,0,1
2024/10/19,7,3
2024/10/20,5,5
2024/10/21,2,0
2024/10/22,3,3
2024/10/23,0,1
2024/10/24,1,0
2024/10/25,1,3
2024/10/26,5,5
2024/10/27,0,0
2024/10/28,5,3
2024/10/29,1,0
2024/10/30,1,1
2024/10/31,14,4
2024/11/1,0,0
2024/11/2,60,13
2024/11/3,18,2
2024/11/4,3,0
2024/11/5,1,0
2024/11/6,2,0
2024/11/7,0,0
2024/11/8,4,3
2024/11/9,6,3
2024/11/10,6,1
2024/11/11,4,1
2024/11/12,0,1
2024/11/13,2,1
2024/11/14,3,0
2024/11/15,0,0
2024/11/16,41,8
2024/11/17,18,5
2024/11/18,0,0
2024/11/19,6,4
2024/11/20,0,2
2024/11/21,3,1
2024/11/22,0,0
2024/11/23,12,5
2024/11/24,0,0
2024/11/25,5778,1936
2024/11/26,6,2
2024/11/27,13,4
2024/11/28,14,4
2024/11/29,9,4
2024/11/30,18,1
2024/12/1,11,1
2024/12/2,3,0
2024/12/3,5,2
2024/12/4,1,3
2024/12/5,1,3
2024/12/6,0,0
2024/12/7,5,5
2024/12/8,10,8
2024/12/9,4,1
2024/12/10,1,2
2024/12/11,2,0
2024/12/12,3,1
2024/12/13,13,1
2024/12/14,51,3
2024/12/15,17,6
2024/12/16,5,2
2024/12/17,6,2
2024/12/18,3,3
2024/12/19,4,0
2024/12/20,2,2
2024/12/21,10,4
2024/12/22,10,4
2024/12/23,4,2
2024/12/24,3,3
2024/12/25,3,0
2024/12/26,4,2
2024/12/27,1,1
2024/12/28,8,2
2024/12/29,5,3
2024/12/30,2,1
2024/12/31,3,1
